Municipality,Number_of_vegetation_plots,Vegetation_area_KM2,Municipality_area_KM2,Vegetation_cover_%,HDIM_2010,Child_mortality_2017,GDP_cap_2018,Sewage_2010_%,S_Species_richness,PD_Phylogenetic__richness,FD_Functional_richness,Temporary_crop_revenue,Permanent_crop_revenue,Predicted_S,Future_S,Predicted_FD,Future_FD,Predicted_PD,Future_PD,Prediceted_Permanent_crop_revenue,Future_Permanent_crop_revenue,Predicted_Temporary_crop_revenue,Future_Temporary_crop_revenue
Lebon Régis,4,363.9677378,941.64,38.65253577,649,36.14,20402.4,49.1,35,2844.598025,0.057935504,6.656868747,30.44853268,34.89598291,31.55969566,0.065582131,0.062907373,2656.048194,2548.010366,26.13719052,26.31306991,5.366756408,5.135611031
Leoberto Leal,4,206.0200017,293.6,70.17030032,686,25.64,30480.78,41.2,49.75,3387.04405,0.099344441,9.293081437,10.35381251,51.18331143,53.15999056,0.067116989,0.071562399,3344.686687,3502.339962,11.37290542,11.3888912,9.725190352,9.929968673
Luzerna,1,57.29541005,117.099,48.92903445,789,16.67,30042.54,82,52,3445.4997,0.114554813,2.577963338,2.473768831,47.25431717,45.48985934,0.108183692,0.1053077,3076.479057,2993.280304,2.470676634,2.27900017,2.576113944,2.555615828
Macieira,1,133.6097638,261.208,51.15071658,662,100,27298.74,30.5,39,3003.1542,0.064606185,5.256903777,21.20064447,35.3307979,34.35147796,0.084358682,0.08312985,2751.846226,2685.226741,20.8415744,20.34175488,4.171572673,3.973929396
Mafra,5,492.9100609,1404.084,35.10545387,777,7.12,34993.36,74.9,35,2756.3325,0.05854694,3.455227108,8.533909653,31.77806329,32.70999815,0.064398996,0.064343756,2759.560711,2727.854527,12.71109931,12.56544497,3.804673722,3.957455534
Major Gercino,2,241.9138678,306.058,79.04183774,698,52.63,14383.12,54.3,67,4166.40015,0.073622109,6.452504647,14.88520632,69.38845484,61.7545663,0.08101234,0.081951739,4014.703944,3896.346457,11.57089485,11.73348102,7.096062319,7.340009667
Major Vieira,4,184.3469085,520.816,35.3957844,690,12.2,26205.89,36.7,40.75,2865.821075,0.086561912,4.093688458,5.652937332,36.82734238,38.54812074,0.0717396,0.071897247,2790.254195,2797.40995,5.065277112,5.058249747,4.312755005,4.472965472
Massaranduba,1,204.3706935,374.459,54.57758887,774,14.29,32809.4,86,51,3568.1845,0.075085508,5.06131037,11.72186481,54.51143613,57.68856723,0.080830056,0.085215495,3878.315302,3927.36626,13.2314921,13.54785205,4.951791651,5.115306302
Matos Costa,1,228.8196412,435.391,52.55497729,657,64.52,20235.45,27,48,3272.1266,0.072278363,3.862755608,10.59106441,40.27133071,36.43598515,0.061338202,0.061712709,2820.830733,2707.294217,9.000783928,8.651892444,3.560166231,3.536188684
Mirim Doce,2,240.8388876,337.991,71.25600611,708,30.3,22672.28,78.1,53,3345.89155,0.069356666,4.177744069,12.35978261,52.4585275,41.62042359,0.077590318,0.074185347,3225.164321,2962.551693,12.9001268,14.20374612,6.036404683,5.421337719
Mondaí,3,68.32703244,200.276,34.11643554,748,16.53,56640.75,27.6,37,2787.711433,0.10439049,2.978183159,7.056307889,31.04317827,37.00141858,0.10366982,0.079685172,2505.493052,2151.295937,4.79463462,4.677082293,2.901142484,3.273936795
Monte Castelo,2,294.3060959,560.743,52.4850236,675,15.15,21278.78,42.2,29,2146.89895,0.033061492,3.980945148,10.35704021,36.58693784,36.80303855,0.050857461,0.053980141,2413.670047,2531.30416,12.57564592,12.00770771,3.622438515,3.299466986
Morro da Fumaça,1,11.09390529,82.818,13.39552427,738,7.46,36437.43,52.9,50,3543.143,0.033472029,5.694356346,10.71515449,44.90940197,44.0176196,0.084663602,0.086952627,3745.597118,3771.924737,11.59683914,11.75101869,6.073666524,6.180651739
Morro Grande,2,178.9613671,260.143,68.79345862,701,20.41,36160.9,97.7,72,4490.5682,0.082858568,4.630332888,5.147111111,59.08163484,57.06134214,0.084093428,0.088210127,3589.135924,3684.643196,4.624713194,4.90087511,4.542414699,4.696841559
Navegantes,1,30.32337844,111.377,27.22588905,736,13.87,48187.98,87.5,55,3306.7607,0.051257063,4.180739579,12.64317552,55.65971951,57.91040523,0.081303515,0.085459009,3581.097439,3755.968653,13.4442895,13.99374614,4.383185489,4.546055141
Nova Itaberaba,2,40.39263297,137.388,29.40040831,736,25.64,24742.86,9.5,39.5,2931.89945,0.100269368,2.748202731,9.142973448,35.57639209,41.5031034,0.095247145,0.082878314,2743.053422,2573.447107,8.262258123,7.417359023,2.59275057,2.529795135
Nova Trento,2,328.7375774,402.852,81.60256803,748,20.41,41341.86,70.8,56.5,3699.0575,0.05603484,6.087078794,10.95591038,55.74492393,59.25581383,0.082344517,0.087763694,3883.636807,3937.371027,9.261702239,9.473851158,5.964636862,6.037316188
Nova Veneza,2,131.387236,295.061,44.52883843,768,11.9,48411.29,71.6,58,4145.96235,0.084068747,4.173229147,8.064014692,55.37442996,49.43794557,0.087947003,0.089451993,3802.127542,3655.816257,6.156049338,6.387053385,4.514944944,4.831854681
Orleans,7,309.2358118,549.859,56.23911072,755,3.23,39817.94,72.7,64.42857143,4097.545414,0.102888602,7.686126187,5.490032349,55.63369184,53.7440604,0.084511332,0.088693839,3841.489523,3823.862548,5.843963273,5.864365869,7.940963862,7.918435875
Otacílio Costa,4,354.0413741,847.253,41.78697203,740,19.53,40840.77,85.8,31.5,2377.12755,0.055228945,2.295012904,4.6,32.42141308,38.88679502,0.05966971,0.059423561,2246.080275,2535.25469,9.990058907,10.88902067,2.698396824,2.685272233
Ouro,2,75.25178014,213.543,35.23963798,774,11.11,22712.09,88.6,43.5,3040.55895,0.12003804,2.400166952,3.414055522,39.09984405,39.01491494,0.10005216,0.096764286,2773.319423,2776.940093,3.063397829,2.8831059,2.292358482,2.295503646
Paial,2,40.98514835,86.048,47.63056475,718,50,26723.38,21.3,44,3175.7578,0.110947984,2.622646737,4.632767585,41.24446291,34.15436737,0.094372072,0.101846398,2946.216124,2732.468702,4.854636295,6.325284173,2.77854475,2.902754969
Painel,1,226.6955478,738.331,30.70378297,664,34.48,20034.79,51.2,38,3022.5374,0.09150467,2.617489294,21.24715017,34.24011603,32.6929224,0.045343614,0.0467384,2385.012262,2310.005837,23.16158164,23.60860859,3.093027736,3.131109096
Palhoça,3,227.1560209,394.85,57.52970011,757,9.24,32626.34,83.2,44.66666667,3118.3852,0.058750017,6.133819148,17.42027094,46.30313293,45.90424469,0.073036739,0.078657983,3239.941579,3401.540293,17.68366012,18.51948926,6.090716488,6.404430285
Palma Sola,1,90.43785226,330.878,27.33268826,704,10.31,30088.69,15.6,23,1968.0471,0.079639866,2.642498238,3.557395959,25.85881933,29.23958498,0.075636495,0.070170971,2630.696824,2583.631166,3.744764827,3.015622482,2.389717304,2.402477094
Palmeira,1,104.979527,289.097,36.31290777,671,38.46,39215.33,49.7,33,2993.3463,0.073809489,2.825120568,12.18566978,33.46668097,34.15197948,0.064739269,0.056867888,2311.034665,2257.719636,11.57857974,13.10151381,2.513942999,2.237126056
Palmitos,2,62.23474963,351.051,17.72812202,737,5.29,38378.79,15.1,22.5,1912.024,0.068924787,2.643809493,9.590025021,25.42507505,35.69180484,0.08740225,0.075078053,1940.600544,1972.164121,6.992354636,5.948015811,2.865051302,2.784994664
Papanduva,5,332.4286863,764.737,43.46967471,704,19.84,31184.55,67.2,39.2,2816.12806,0.065199934,4.057308821,9.37957286,39.06459611,40.5225955,0.079113783,0.079409747,2939.629063,2971.276703,7.018638064,7.035437559,4.514080217,4.590370763
Paraíso,1,49.59141934,180.338,27.49915123,700,34.48,28734.76,11,19,1912.6292,0.092489096,2.678342343,6.543276994,31.76795474,34.18566909,0.080975106,0.080377695,2287.004008,2314.825954,10.84885664,11.09306277,2.726090658,2.664033171
Passos Maia,3,262.6691256,617.092,42.56563456,659,18.52,33066.57,50.2,26.33333333,2276.2491,0.043857497,2.399401237,2.714331355,25.21711301,26.70990891,0.058271497,0.058754555,2100.809474,2259.243891,4.083157843,3.642140656,2.135006048,2.155510042
Paulo Lopes,2,353.2653637,446.165,79.17818827,716,8.2,25654.38,33.8,71.5,4438.024,0.061554845,3.547268595,11.33770791,65.56262694,59.27568285,0.092415785,0.096017515,4216.704475,4074.140902,13.25642089,13.72787097,5.099030723,5.299313662
Peritiba,2,49.24732892,96.168,51.20968401,766,23.4,30218.7,70.3,45.5,3235.63535,0.105852724,2.266708088,4.393970458,38.32297311,38.28382652,0.099524084,0.089757797,2827.159016,2694.459797,3.263859744,2.754951293,2.229320479,2.209332076
Pescaria Brava,1,12.62481322,106.853,11.81512285,752,11.24,10010.84,68.3,85,4892.4533,0.106727869,4.653418851,0,73.14255096,66.39314951,0.103312568,0.09982633,4259.212606,4248.82413,0,0,4.919647068,5.012177974
Petrolândia,2,174.5945949,306.76,56.9156979,716,15.87,29089.34,45.7,44,2933.38975,0.080667541,7.132866108,12.17831883,45.06850156,54.07816298,0.068019938,0.076317595,2791.671116,3234.936893,8.999761219,9.263013379,8.297775975,8.482388675
Piratuba,1,43.20108147,146.088,29.57195763,758,18.18,155119.78,49.8,30,2740.0316,0.092499849,2.351369882,5.810392307,29.77395514,30.51482672,0.092707923,0.084855767,2567.382139,2486.041276,5.909896739,5.224512397,2.471372092,2.440286468
Ponte Alta,2,266.7855992,575.17,46.38378205,673,52.63,24218.32,40.5,44.5,2919.1062,0.064099527,2.759550078,13.08333333,42.90012663,35.62851295,0.06480278,0.051961389,2850.088542,2586.808247,15.24178325,15.95566649,2.320639962,2.100102072
Ponte Serrada,2,275.955477,560.731,49.21352253,693,5.81,19642.03,40.7,42.5,3290.85495,0.092117297,2.478779304,4.391940132,39.25620783,39.31177209,0.073055649,0.072664848,2620.171182,2499.627074,3.859469908,3.528609192,2.194656273,2.207123706
Porto União,3,443.9913439,848.779,52.30941669,786,2.57,21427.35,75.7,45,2925.0817,0.085516698,2.911306479,5.092497501,43.0636288,39.01008582,0.079309512,0.079346784,2779.430899,2719.397731,4.638069007,4.399198462,3.417106219,3.404696212
Pouso Redondo,1,138.939198,356.539,38.96886398,720,4.29,28157.09,84.8,46,3178.3435,0.119548035,6.037796972,10.33070396,40.04904828,44.47841631,0.083315674,0.076406233,3099.42967,3004.094023,9.985738886,10.02158472,5.464686577,5.214657838
Praia Grande,2,165.5489477,284.36,58.21808543,718,10.53,21879.04,78,54.5,3631.37815,0.10753483,3.919042557,5.986774326,58.1209355,55.25201041,0.086396273,0.086414141,3440.429943,3704.247747,6.42422579,6.819231553,4.09087668,4.351267142
Presidente Getúlio,1,128.4879982,297.16,43.2386587,759,13.89,41362.31,86.5,68,4221.3141,0.093104119,6.189830009,9.120665679,61.1054813,56.74620371,0.080523636,0.080243551,3218.755289,3137.284923,16.29205332,16.38659848,5.889192557,5.848058172
Presidente Nereu,3,166.7706175,224.748,74.20338223,737,43.48,23049.94,57.6,68.33333333,4202.215167,0.074946426,8.969577874,11.36251706,65.06206776,62.51860926,0.080621957,0.083803622,3918.145864,3901.019029,8.748305338,8.91046678,9.368212624,9.447317113
Quilombo,1,52.00850914,278.983,18.64217861,730,7.3,35457.41,34.5,45,3420.0134,0.11448884,2.509978363,9.613311462,41.13699458,35.69220286,0.093603019,0.07666324,2680.66008,2167.290936,7.554866199,8.134432424,2.405181055,2.295682879
Rancho Queimado,1,204.3140307,286.461,71.32350677,753,33.33,40998.77,51.9,39,2854.7033,0.025120032,13.95809962,14.39954367,45.06906082,59.81647514,0.053984028,0.070397339,3127.50641,3790.540425,12.61210271,12.84070824,8.979559097,9.388387083
Rio das Antas,2,108.456047,314.913,34.4400031,697,13.33,30774.48,41.8,31,2591.35315,0.083324986,3.474089742,21.31347521,30.41305673,29.2749666,0.078848753,0.075336185,2620.944068,2595.226899,23.00849249,22.43524073,3.598165884,3.532478881
Rio do Campo,5,263.0830325,502.095,52.39706281,729,24.69,24848.43,74.3,52.4,3381.40288,0.078952609,6.068001058,10.0319708,50.71396357,49.77469765,0.079438332,0.078908242,3187.683432,3206.300356,8.933912881,8.974274467,5.942595039,5.936165295
Rio do Oeste,2,90.26978187,245.057,36.83623886,754,8.93,24874.63,67.8,40.5,2573.465,0.074248459,6.661408177,12.93679729,42.50373087,43.56838158,0.08502604,0.083291647,2990.071207,3052.540358,13.50950773,13.42629147,5.994020007,5.88291446
Rio do Sul,2,143.1736651,260.817,54.89429948,802,13.26,38796.66,83.5,51,3428.9443,0.05464277,4.98095126,14.48879727,49.87323807,53.65946488,0.068442603,0.070533893,3013.581576,3141.416433,12.21785267,12.39389293,5.794692378,6.161917868
Rio dos Cedros,6,412.5230041,555.473,74.26517655,729,8.4,28748.91,82.3,54,3514.794617,0.086104933,3.201411791,5.819274827,52.73648822,52.643514,0.071962088,0.074040208,3445.151281,3475.576358,5.113044015,5.097423178,3.377911636,3.470739227
Rio Fortuna,2,135.4952812,302.39,44.80812236,806,13.33,51792.65,30.6,34.5,2554.3398,0.065446041,8.668578989,4.288213868,38.01532582,39.87925574,0.049585936,0.060403604,2933.579931,2991.687915,5.008255685,5.107781467,6.707445219,6.774609408
Rio Negrinho,2,390.4398987,907.42,43.02747335,738,8.4,27502.3,79.2,33.5,2485.79315,0.052154342,2.725850015,6.029208898,38.59436774,42.47889525,0.071932531,0.074272424,2766.817567,2882.3484,5.958911529,5.883370926,3.547680297,3.649305802
Rio Rufino,3,235.147877,282.571,83.21727177,653,29.41,19550.74,51.5,19.66666667,1713.9064,0.021847955,7.59123053,23.6277816,26.59201715,31.2301958,0.036502855,0.042609157,2006.318572,2283.1375,27.22034436,27.76984787,5.422377274,5.501471184
Rodeio,1,80.81718647,129.001,62.64849611,754,15.04,24814.2,87,55,3562.293,0.086035993,4.008011426,10.18726983,57.17747988,58.20794646,0.076058947,0.079518328,3698.072476,3771.029904,11.2603479,11.61925345,4.317901857,4.531442601
Romelândia,2,47.13984013,223.333,21.10742261,692,25.64,17303.37,7.9,47.5,3511.6037,0.113447573,2.893843481,9.463205045,38.46589017,40.31319212,0.105849093,0.093076194,3247.736295,2915.851049,4.594009506,4.990328353,2.660703833,2.361926174
Salete,1,68.93071666,177.887,38.74972126,744,24.1,25910.8,58.9,15,1349.711,0.011658646,6.020039804,11.5306305,31.14219076,40.70626415,0.072630335,0.071859705,2512.067469,2740.693476,10.2487372,10.19749114,6.66820639,6.571333889
Salto Veloso,1,42.90341387,104.531,41.04372279,784,17.86,36676.48,82.6,44,3050.4238,0.112039483,2.626141198,11.24459547,39.01543511,37.20069844,0.104399575,0.103315428,2848.193186,2864.472792,9.48196809,9.077684089,2.723046995,2.774267314
Santa Cecília,2,345.4937201,1145.845,30.15187221,698,3.3,28120.98,76.2,22,1852.18995,0.022524766,1.965145435,27.58053599,23.68699553,30.23745291,0.043451699,0.048806278,2224.795657,2424.206632,24.36434827,24.82120393,3.137764539,3.081923005
Santa Helena,1,27.03427929,81.004,33.37400534,727,35.71,31185.85,10.3,31,2252.6962,0.082925111,2.976789499,4.264501986,30.10392822,30.49702938,0.076459507,0.078846574,2118.046599,2052.206432,4.681831174,5.251890889,2.712034736,2.657267061
Santa Rosa de Lima,2,122.3117388,203.218,60.18745329,757,52.63,23709.77,55,60.5,4138.02695,0.094541498,7.279538356,8.420143511,60.23371407,57.66053163,0.09754503,0.098364122,3954.635031,3716.530838,5.390290275,5.460447652,6.887697031,6.858724315
Santa Terezinha,3,436.585087,715.551,61.01383228,669,11.63,20603.1,40,50,3132.747467,0.064678113,6.292226744,5.841854004,54.50662667,52.46648977,0.082535921,0.081166814,3153.840671,3148.749862,6.82282025,6.891186446,5.270417638,5.320983126
Santo Amaro da Imperatriz,5,274.3334417,344.235,79.69365164,781,6.02,37065.02,83.6,51.4,3488.05804,0.066891136,9.695009025,32.1602339,57.83258727,62.9013721,0.075300513,0.081291704,3686.075531,3974.036141,27.39042467,27.83019123,9.159858989,9.319104427
São Bento do Sul,4,327.7509395,495.772,66.10920736,782,9.2,38266.83,94.8,46.5,3065.0804,0.102211647,3.092759078,7.711900875,54.85705193,54.72396457,0.086406073,0.08265862,3339.812363,3391.482372,10.16775041,10.22175809,3.307521119,3.419562374
São Bonifácio,4,340.8017107,461.438,73.85644673,731,38.46,24962.03,62.2,62.25,3637.356,0.065154782,4.814616363,9.409491366,63.17003,60.49426993,0.059654197,0.062613256,3682.420777,3742.843283,8.436731698,8.632671618,6.777621844,7.008967906
São Carlos,1,31.74423671,162.12,19.58070362,769,6.85,37942.44,20.8,41,3164.5389,0.122998582,2.554828734,7.532333333,37.14291516,38.20354301,0.106635794,0.089402777,2936.564839,2461.660768,8.227553457,6.992089632,2.725737891,2.589625221
São Cristóvão do Sul,2,148.5313451,345.903,42.94017256,665,25.64,28867.32,59.7,41,3169.57735,0.085112711,2.128147588,0,37.03326095,34.15436643,0.059065214,0.047166151,2469.713905,2307.498303,0,0,2.196829952,2.280124908
São Domingos,1,57.32127277,367.525,15.59656425,765,17.24,34612.07,16.6,33,2665.2506,0.097478258,2.411923565,6.332263071,31.19751598,32.7363499,0.088465021,0.078847171,2581.55268,2374.534874,4.04330329,3.922547386,2.190886878,2.057035252
São Francisco do Sul,2,288.1015846,493.266,58.40694161,762,11.41,80165.53,75.6,57,3762.065,0.045951469,3.509678466,7.0475501,66.7472883,63.19190862,0.058114073,0.064393121,3801.66563,3852.324026,7.498325302,7.903259011,3.527748138,3.738614936
São João Batista,1,133.0048573,200.765,66.24902614,740,12.96,24798.96,79.8,70,4133.1587,0.121261562,6.973930135,11.78351598,63.98707507,59.72132577,0.090190819,0.082382119,4048.77057,3976.114107,14.00968656,14.31510136,5.650266672,5.837157754
São João do Itaperiú,2,30.4770999,151.885,20.06590506,738,47.62,45959.96,54.9,44,2874.20525,0.073091795,4.327273056,12.18400862,47.73659379,47.20348277,0.070162195,0.070260783,3182.987817,3232.309063,10.70220098,11.1448048,4.240397587,4.386624496
São João do Oeste,1,58.21031304,163.747,35.54893405,761,14.29,34777.41,19.9,31,2462.9061,0.070475209,2.996952602,4.737138458,30.84313602,37.85491583,0.082252655,0.08186153,2281.165479,2253.58071,4.461420202,4.82158343,2.68590099,2.708393087
São Joaquim,10,466.2111587,1888.634,24.68509826,687,27.7,27919.27,73.4,20.3,2077.02683,0.032638902,4.112759527,23.54133497,27.67558312,29.51964538,0.042719589,0.03983311,2238.114118,2271.469202,26.50003372,27.07373075,4.266992155,4.105570204
São José,1,52.80368271,150.499,35.08573659,809,9.8,43665.31,93.7,45,3403.5667,0.030484097,5.804775558,7.197360903,50.75632331,53.21848655,0.084563645,0.088214016,3982.029948,3862.2101,9.897126293,10.86187682,4.889905916,5.413346084
São José do Cerrito,3,350.6855709,948.714,36.96430862,636,23.81,29609.26,36.9,46.66666667,3551.603833,0.090347661,2.542727614,17.76248975,32.41663721,29.19619685,0.072372321,0.070520543,2624.615773,2524.523507,20.42944571,19.43808991,2.275839691,2.190777321
São Lourenço do Oeste,2,68.09584592,356.193,19.11768225,749,9.68,40274.72,37.4,31,2491.246,0.073659577,2.812559558,10.41752958,39.18886361,39.79638286,0.098544985,0.091348517,3068.731323,2961.715424,9.018132067,8.315665001,2.401607518,2.406132897
São Martinho,3,112.7435329,224.566,50.20507688,742,27.03,25501.71,68.9,59,3758.042133,0.105646264,6.568964629,13.6412096,58.56391478,57.26574928,0.091411511,0.089537789,3888.868013,3882.130725,9.357170491,9.463300197,5.94201367,6.014231719
São Miguel da Boa Vista,1,17.85211703,72.755,24.53730606,710,83.33,19990.31,8.2,13,1380.9816,0.049617681,2.928241111,4.598888889,33.88478698,32.27789857,0.091761396,0.074473584,2044.167534,1978.773343,5.007589734,4.631753515,2.568106266,2.389581797
São Pedro de Alcântara,1,107.6451585,139.196,77.33351428,734,68.97,14164.08,79,67,4456.7312,0.113830889,7.747542301,18.07077691,62.54576076,54.68821061,0.09004181,0.10003853,4204.290289,4178.419763,15.65976085,16.14357818,8.240745754,8.531161856
Saudades,1,44.37405814,205.781,21.56372947,755,29.7,33257.91,28.1,11,1207.5768,0.009535294,2.480270529,3.92088137,34.13862477,35.91586104,0.089937834,0.078490041,1666.672491,1705.667123,7.257696435,6.206731186,2.513555441,2.417935507
Schroeder,1,125.230368,165.237,75.78833311,769,11.72,24106.03,61.9,54,4015.5363,0.111346963,4.295825784,11.65606249,57.26334231,58.06720578,0.093260287,0.094239242,3978.62231,3889.764813,11.39527075,11.67327319,4.810694269,5.014162654
Seara,8,149.7839004,309.627,48.37559398,779,8.06,45693.62,66.4,35.125,2588.77445,0.087927027,2.51079367,5.843242316,35.93922341,37.60741399,0.094702954,0.091876812,2652.292302,2537.842845,5.385230247,4.964090811,2.549609881,2.535255963
Siderópolis,2,172.005727,262.004,65.65003857,774,21.9,33528.51,85.3,67.5,4329.24215,0.113431556,3.43000732,6.820346888,57.94850277,55.19776357,0.097183456,0.097069194,3666.900217,3709.74329,5.693287732,5.798683552,3.996930973,4.002886188
Taió,4,375.4680365,693.847,54.11395257,761,20.41,32781.05,77.7,57.75,3294.66505,0.082910862,5.172203443,7.934548381,43.37998504,39.86840165,0.075526117,0.069552563,3168.872744,2898.10313,9.359094589,9.442888329,5.448614542,5.286482563
Tangará,1,171.6504839,390.044,44.00797959,737,32.26,47114.19,50.1,57,3715.697,0.127439658,2.713335553,16.96183466,45.13448398,40.33576889,0.104329357,0.10556163,3028.327828,2890.367441,19.17580002,18.44431189,2.989844828,2.974644369
Tijucas,1,116.557269,279.159,41.7530042,760,7.47,40901.83,86.9,84,4612.4853,0.10795583,4.634600977,13.38387353,58.5311005,57.3453587,0.088393562,0.087253257,4292.800933,4219.090414,11.52331115,11.85553221,4.460526201,4.555893281
Timbé do Sul,1,229.1330926,328.507,69.74983566,720,14.29,24069.78,67.2,66,4051.4022,0.056206198,5.181836601,4.437588745,67.22274221,57.92572243,0.086113107,0.092357284,3825.737729,3795.451745,4.5557922,4.675390126,4.751446839,4.589716247
Timbó,2,58.10019113,128.313,45.28005045,784,1.98,42748.35,59.2,44.5,3380.778,0.084143501,3.737045018,10.03228534,52.88568493,51.7847107,0.090097618,0.092560627,4046.116441,3935.921427,12.25755062,12.46225117,4.155925627,4.210359364
Timbó Grande,2,287.8745519,596.344,48.27323691,659,20.62,25259.99,36.8,26,2277.00405,0.054961741,2.757783737,3.614327299,29.22536939,32.39401314,0.063744099,0.06661572,2417.835507,2476.416679,5.156740325,4.981325249,3.856534766,4.365038748
Treviso,2,108.7608878,156.61,69.44696237,774,21.74,52568.42,95.3,61,4315.79885,0.083125219,3.836011526,6.054631953,57.55046292,52.54771052,0.086834711,0.088916907,3967.524173,3741.251816,9.136902064,9.242875019,4.933296689,4.807113945
Treze Tílias,1,52.43156896,185.937,28.1985667,795,7.75,79760.98,93.3,14,1284.7883,0.038110966,2.618148615,3.040226419,18.40970663,20.24107495,0.074290928,0.073977406,1889.370922,2086.156664,6.425816854,6.195926916,2.673685372,2.713831819
Trombudo Central,1,38.08895848,109.648,34.73748585,775,18.87,34907.81,49,23,2153.2203,0.047279066,4.755505609,11.56549962,46.23577405,47.39117888,0.08101996,0.081254298,3110.286911,3045.353741,11.8184042,12.00845235,5.662600665,5.803203606
Tunápolis,3,46.19009605,132.939,34.74533136,752,43.48,27234.76,9,27.66666667,2426.883033,0.077178416,3.215210083,3.605923257,28.64657723,28.62124976,0.077239202,0.076608531,2229.087207,2091.481126,4.863101372,5.535106215,2.810719523,2.767164231
Turvo,1,38.81059785,235.104,16.50784242,740,17.14,42026.53,90.3,44,2984.6217,0.107703665,4.687918261,8.034885621,53.66621309,53.81661824,0.10446579,0.106262338,3543.586921,3800.702292,7.589765137,7.908512593,5.063064134,5.450009184
Urubici,7,673.1496904,1021.371,65.90648162,694,14.18,22372.89,78.3,18.85714286,1804.632629,0.015540128,11.66036048,23.41619637,24.43994376,28.55417026,0.021787205,0.028599342,2092.446727,2273.385812,25.45259805,25.91112469,6.073613487,6.233230044
Urupema,1,86.67956357,350.472,24.7322364,699,64.52,22118.42,38.8,9,1271.4629,0.029905275,5.025359832,27.03014523,23.04954887,28.58851271,0.056799348,0.051374022,2510.600635,2249.904061,25.30214908,27.35721533,4.973233716,4.526981225
Urussanga,2,115.8409806,254.954,45.43603182,772,14.56,39438.25,84.6,46,3183.01155,0.083337573,7.386687704,13.14090099,43.79319625,44.26709657,0.086014078,0.087853097,3720.697978,3637.00834,11.9364352,11.90087947,5.861603447,5.876892834
Vargem,2,121.3629244,350.606,34.61518752,629,44.44,24351.38,13.4,24,2106.8292,0.0603987,2.48093847,10.10247104,24.60985905,27.70062976,0.07296682,0.06803221,2400.867125,2465.329035,11.00915123,10.10605527,2.400187339,2.299811538
Vidal Ramos,2,221.94401,346.932,63.97334637,700,11.76,45291.06,24.7,63.5,3574.06865,0.112873257,8.408575129,10.00472634,53.33370446,52.81637251,0.080423448,0.078693683,3505.390229,3472.565858,7.885562437,7.964943119,9.106829573,9.353447198
Videira,1,139.3863766,384.127,36.28653457,764,12.08,46236.23,86.1,27,1930.1809,0.099261146,2.701851578,17.04166162,29.65012201,29.48370734,0.088184824,0.084663101,2563.349309,2630.877132,19.48001563,18.64554369,2.991639085,2.994042265
Vitor Meireles,2,228.8726438,370.414,61.78833517,673,14.93,23643.9,75.2,63,3961.19435,0.078796272,6.326400384,8.679608473,60.90297164,56.71364958,0.099195338,0.09923293,3246.255199,3265.262976,8.656328575,8.645125344,7.34865792,7.324798256
Witmarsum,2,53.02792856,153.776,34.48387821,710,23.26,32866.88,76.7,60,3579.08895,0.087951103,6.86448678,10.47785981,49.27582283,47.65650448,0.078426452,0.07792651,3236.369856,3155.462633,11.73953607,11.8015161,6.936441746,6.841474064
Xanxerê,1,58.69238694,377.426,15.55070052,775,9.93,33864.92,56.4,40,3083.2475,0.100342616,2.231730586,3.093674953,38.27862108,39.01188055,0.080826396,0.069804214,1682.125198,1698.710203,3.445722748,2.658196356,2.185938966,2.18679458
Xavantina,2,64.97479344,218.032,29.80057672,749,55.56,54550.94,60,50,3628.82425,0.094529199,2.352668327,6.37259711,44.70034255,43.06990169,0.083927723,0.075723494,2389.590504,2292.079374,5.974828422,5.123291098,2.471574403,2.485241603
Zortéa,1,48.37142837,190.179,25.43468436,761,22.22,21389.69,35.2,55,3879.844,0.12480546,2.135249024,8.774086379,44.51973735,40.02763481,0.092755301,0.089812397,3028.994062,2817.663097,4.980536512,4.666384949,2.18997199,2.208414438
